register_number,company_name,corp_number,office_type,business_type,valid_period,representative,address_jibun,address_road,phone,ad_phone,register_agency,operation_status
대전-3511,(주)하나투자대부,160111-0511885,본점,금전대부,2019.05.29~2025.05.28,김영국,대전광역시 서구 둔산동 1389번지 1101-4호,"대전광역시 서구 문예로 73, 1101-4호 (둔산동)",042-471-8940,042-471-8940,지방자치단체,영업중
대전-3512,(주)하나투자대부중개,160111-0511885,본점,대부중개,2019.05.29~2025.05.28,김영국,대전광역시 서구 둔산동 1389번지 1101-4호,"대전광역시 서구 문예로 73, 1101-4호 (둔산동)",042-471-8940,042-471-8940,지방자치단체,영업중
대전-3536,나나대부,,본점,금전대부,2019.08.05~2025.07.07,임연일,대전광역시 서구 괴정동 73번지 37호 위스퀘어빌딩428호,"대전광역시 서구 갈마로219번길 47, 위스퀘어빌딩 428호 (괴정동)",010-8766-4441,"010-8766-4441, 010-6899-6334",지방자치단체,영업중
대전-3539,프라이빗대부,,본점,금전대부,2019.08.13~2025.07.04,이수혁,대전광역시 서구 갈마동 307번지 1호 드림빌딩오피스밸리512호,"대전광역시 서구 계룡로 366, 드림빌딩오피스밸리 512호 (갈마동)",010-5969-8877,010-5969-8877,지방자치단체,영업중
대전-3556,나눔재무대부중개,,본점,대부중개,2019.12.26~2025.10.19,전금화,대전광역시 서구 탄방동 626번지,"대전광역시 서구 문정로10번길 39, 상가동 203호(탄방동, 개나리아파트)",1522-6514,"1522-6514, nan-umfn",지방자치단체,영업중
대전-3469,(주)대경대부,160111-0497415,본점,금전대부,2019.01.03~2025.01.02,예연순,대전광역시 유성구 봉명동 551번지 7호 한진오피스텔203호,"대전광역시 유성구 계룡로105번길 15, 한진오피스텔 2층 203호(봉명동)",042-488-4673,010-7778-2828,지방자치단체,영업중
대전-3494,H론대부,,본점,금전대부,2019.03.21~2025.03.20,한수오,대전광역시 유성구 봉명동 547번지 1호 2층240-1호,"대전광역시 유성구 계룡로141번길 29-25, 240-10호 (봉명동)",042-533-8767,"042-538-8256, 042-538-8767, 042-528-3825",지방자치단체,영업중
대전-3506,참좋은전당포대부,,본점,금전대부,2019.05.17~2025.05.16,김영훈,대전광역시 유성구 지족동 894번지 2호,"대전광역시 유성구 노은로 151, 203호 (지족동, 가나파로스빌II)",042-489-8912,042-489-8912,지방자치단체,영업중
대전-3519,선진대부,,본점,금전대부,2019.07.02~2025.07.01,조한,대전광역시 유성구 전민동 307번지 4호 3층,"대전광역시 유성구 유성대로 1744-1, 3층 (전민동)",010-9848-1636,,지방자치단체,영업중
대전-3531,대전충청비앤파이낸셜대부,,본점,금전대부,2019.07.24~2025.07.23,백관현,대전광역시 유성구 학하동 752-9번지,"대전광역시 유성구 학하남로91번길 6-20, 1층 (학하동)",010-5650-9880,010-5577-5020,지방자치단체,영업중
대전-3532,대전충청비앤파이낸셜대부중개,,본점,대부중개,2019.07.24~2025.07.23,백관현,대전광역시 유성구 학하동 752-9번지,"대전광역시 유성구 학하남로91번길 6-20, 1층 (학하동)",010-5650-9880,010-5577-5020,지방자치단체,영업중
대전-3527,서민생활금융대부,,본점,금전대부,2019.07.17~2025.07.16,박희정,대전광역시 중구 선화동 283번지 빌리프상가205호,"대전광역시 중구 대종로517번길 61, 빌리프빌딩 205호 (선화동)",1666-3695,"1666-3695, 010-8263-6337, 010-7488-6337,010-9587-8008",지방자치단체,영업중
2019-부산남구-00001,주식회사 위드론대부,180111-1186170,본점,금전대부,2024.10.14~2027.10.14,하정덕,부산광역시 남구 대연동 55번지 1호 21 센츄리시티 오피스텔,"부산광역시 남구 수영로 312, 21 센츄리시티 오피스텔 1629호 (대연동)","010-3138-0024, 010-6240-1540",010-3138-0024,지방자치단체,영업중
2019-부산동구-03014,프리상회대부,,본점,금전대부,2022.07.06~2025.07.06,이종헌,부산광역시 동구 범일동 830-296 진흥 마제스타워 범일,"부산광역시 동구 자성로133번길 6, 103동 3126호 (범일동, 진흥 마제스타워 범일)",010-9063-9100,010-9063-9100,지방자치단체,영업중
2019-부산동구-03010,범내골전당포대부,,본점,금전대부,2025.03.31~2028.03.30,추월자,부산광역시 동구 범일동 41번지 4호,"부산광역시 동구 범곡북로 1-3, 2층 (범일동)",051-644-0919,,지방자치단체,영업중
2019-부산동구-03020,캐럿전당포 대부중개 금거래소,,본점,대부중개,2022.09.15~2025.09.15,권인달,부산광역시 동구 범일동 320-4,"부산광역시 동구 범일로 76, 1층 105호 (범일동)",051-633-0606,051-633-0606,지방자치단체,영업중
2019-부산동구-03019,캐럿전당포대부 명품금거래소,,본점,금전대부,2022.09.15~2025.09.15,권인달,부산광역시 동구 범일동 320-4,"부산광역시 동구 범일로 76, 105호 (범일동)",051-633-0606,051-633-0606,지방자치단체,영업중
2019-부산동래구-0013,센트럴대부,,본점,금전대부,2023.11.22~2026.11.22,장성인,부산광역시 동래구 온천동 1461-5,"부산광역시 동래구 여고북로123번다길 3, 2층 204호 (온천동)",010-5078-2636,010-5078-2636,지방자치단체,영업중
2019-부산 부산진구-00009,대신대부,,본점,금전대부,2025.02.03~2028.02.03,조용수,부산광역시 부산진구 부전동 268-13,부산광역시 부산진구 중앙대로755번길 20 (부전동),010-3831-5172,,지방자치단체,영업중
2019-부산 부산진구-00019,하나넷T.G대부,,본점,금전대부,2022.04.27~2025.04.26,양동채,부산광역시 부산진구 부암동 706번지 11호,"부산광역시 부산진구 가야대로 727, 3층 (부암동)",010-3858-5815,010-3858-5815,지방자치단체,영업중
2019-부산 부산진구-00020,하나넷T.G대부중개,,본점,대부중개,2022.04.27~2025.04.26,양동채,부산광역시 부산진구 부암동 706번지 11호,"부산광역시 부산진구 가야대로 727, 3층 (부암동)",010-3858-5815,010-3858-5815,지방자치단체,영업중
2019-부산 부산진구-00024,주례대부,,본점,금전대부,2022.06.08~2025.06.07,남정임,부산광역시 부산진구 범천동 1643 범일역풍림아이원,"부산광역시 부산진구 범일로154번길 33, 2층 2020호 (범천동, 범일역풍림아이원)","051-323-4811, 010-4212-4811, 010-9317-4810",051-323-4811,지방자치단체,영업중
2019-부산 부산진구-00052,주식회사 대출왕대부중개플랫폼,180111-1234763,본점,대부중개,2022.11.09~2025.11.08,옥규철,부산광역시 부산진구 부전동 112번지 3호 삼한골든게이트,"부산광역시 부산진구 동천로 109, 삼한골든게이트 9층 918호 (부전동)",1522-5996,1522-5996,지방자치단체,영업중
2019-부산북구-08002,한양전당포대부,,본점,금전대부,2025.02.18~2028.02.18,최숙희,부산광역시 북구 덕천동 415번지 12호,부산광역시 북구 덕천2길 42 (덕천동),051-335-6255,051-335-6255,지방자치단체,영업중
2019-부산수영-0006,리치엔포크대부,,본점,금전대부,2025.03.28~2028.03.28,김경미,부산광역시 수영구 망미동 805번지 22호,"부산광역시 수영구 연수로296번길 19, 지하1층 (망미동)",010-3579-1405,010-3579-1405,지방자치단체,영업중
2019-부산연제구-13012,JS진성대부,,본점,금전대부,2025.02.14~2028.02.14,박규민,부산광역시 연제구 연산동 658-1 지하1층,"부산광역시 연제구 쌍미천로 79, 지하1층 (연산동)",010-2960-7767,010-2960-7767,지방자치단체,영업중
2019-부산연제구-13016,늘곁애라이프온(주),180111-0043917,본점,금전대부,2024.06.25~2027.06.25,조중래,부산광역시 연제구 연산동 703번지 7호 동천빌딩,"부산광역시 연제구 중앙대로 1066, 동천빌딩 (연산동)","051-462-6250,1577-6250","051-462-6250, 1577-6250, 051-463-6250",지방자치단체,영업중
2019-부산영도구-04001,골드마이쩐대부,,본점,금전대부,2025.01.23~2028.01.23,김기환,부산광역시 영도구 영선동2가 19번지 6호,"부산광역시 영도구 남항로 42, 3층 (영선동2가)",010-2237-8501,,지방자치단체,영업중
2019-부산해운대구-002,제이에스대부,,본점,금전대부,2024.05.28~2027.05.27,황은수,부산광역시 해운대구 우동 760-3 오션타워,"부산광역시 해운대구 해운대해변로 203, 오션타워 504호 (우동)",010-5242-9115,"010-5264-5580, 010-9002-2332, 010-7674-4559",지방자치단체,영업중
2019-부산해운대구-022,우리하나대부,,본점,금전대부,2022.06.27~2025.06.26,이정원,부산광역시 해운대구 우동 1514 센텀리더스마크,"부산광역시 해운대구 APEC로 17, 센텀리더스마크 1901호 (우동)",070-4250-7789,"010-9992-7908, 1688-2131",지방자치단체,영업중
2019-부산해운대구-023,우리하나대부중개,,본점,대부중개,2022.06.27~2025.06.26,이정원,부산광역시 해운대구 우동 1514 센텀리더스마크,"부산광역시 해운대구 APEC로 17, 센텀리더스마크 1901호 (우동)",070-4250-7789,"010-9992-7908, 1688-2131",지방자치단체,영업중
2019-서울강남-0009(대부업),강남제일대부,,본점,금전대부,2024.06.03~2027.06.03,진교박,서울특별시 강남구 개포동 185 개포주공아파트,"서울특별시 강남구 개포로 516, 상가동 207호 (개포동, 개포주공아파트)",010-6277-6401,010-6277-6401,지방자치단체,영업중
2019-서울강남-0024(대부중개업),청담캐피탈대부(주),110111-6279700,본점,대부중개,2024.12.04~2027.12.04,추홍연,서울특별시 강남구 역삼동 702번지 10호 아남타워빌딩 1302호,"서울특별시 강남구 테헤란로 311, 아남타워빌딩 1302호 (역삼동)",02-564-8803,,지방자치단체,영업중
2019-서울강남-0032(대부업),한리버대부,,본점,금전대부,2025.02.05~2028.02.05,조윤희,서울특별시 강남구 대치동 955번지 13호 207호,"서울특별시 강남구 역삼로83길 18, 207호 (대치동)",010-8875-7269,,지방자치단체,영업중
2019-서울강남-0037(대부업),착한전당포대부 강남점,,본점,금전대부,2025.02.19~2028.02.19,김민수,서울특별시 강남구 신사동 663번지 3호 401호,"서울특별시 강남구 압구정로50길 27, 401호 (신사동)",02-511-1335,,지방자치단체,영업중
2019-서울강남-0038(대부업),문타임트레이딩대부,,본점,금전대부,2025.02.13~2028.02.13,김상호,서울특별시 강남구 신사동 661번지 9호,"서울특별시 강남구 선릉로161길 16, 1층 (신사동)",02-544-4002,02-544-4002,지방자치단체,영업중
2019-서울강남-0042(대부업),SB캐피탈대부,,본점,금전대부,2025.02.18~2028.02.18,석부영,서울특별시 강남구 역삼동 735-36,"서울특별시 강남구 테헤란로20길 18, 2층 54호 (역삼동)",010-8389-1244,010-8389-1244,지방자치단체,영업중
2019-서울강남-0036(대부업),(주)엠지스퀘어대부네트웍스,110111-2941569,본점,금전대부,2022.04.10~2025.04.10,김정희,서울특별시 강남구 도곡동 552번지 3호 한국빌딩 501호,"서울특별시 강남구 도곡로8길 3, 한국빌딩 501호 (도곡동)",02-533-6300,,지방자치단체,영업중
2019-서울강남-0057(대부중개업),무빈대부컨설팅(주),110111-3930793,본점,대부중개,2022.04.10~2025.04.10,양시혁,서울특별시 강남구 역삼동 642번지 1호 역삼현대벤쳐텔 910호,"서울특별시 강남구 테헤란로25길 20, 역삼현대벤쳐텔 910호 (역삼동)",010-8805-9608,010-8805-9608,지방자치단체,영업중
2019-서울강남-0056(대부업),무빈대부컨설팅(주),110111-3930793,본점,금전대부,2022.04.10~2025.04.10,양시혁,서울특별시 강남구 역삼동 642번지 1호 역삼현대벤쳐텔 910호,"서울특별시 강남구 테헤란로25길 20, 역삼현대벤쳐텔 910호 (역삼동)",010-8805-9608,010-8805-9608,지방자치단체,영업중
2019-서울강남-0068(대부중개업),(주)엠지스퀘어대부네트웍스,110111-2941569,본점,대부중개,2022.04.18~2025.04.18,김정희,서울특별시 강남구 도곡동 552번지 3호 한국빌딩 501호,"서울특별시 강남구 도곡로8길 3, 한국빌딩 501호 (도곡동)",02-533-6300,,지방자치단체,영업중
2019-서울강남-0061(대부업),리얼코리아대부,,본점,금전대부,2025.02.28~2028.02.28,정동복,서울특별시 강남구 신사동 515-11,"서울특별시 강남구 강남대로152길 31, 4층 (신사동)",02-445-9086,02-445-9086,지방자치단체,영업중
2019-서울강남-0062(대부중개업),리얼코리아대부,,본점,대부중개,2025.02.28~2028.02.28,정동복,서울특별시 강남구 신사동 515-11,"서울특별시 강남구 강남대로152길 31, 4층 (신사동)",02-445-9086,02-445-9086,지방자치단체,영업중
2019-서울강남-0078(대부업),제일파이낸스대부,,본점,금전대부,2025.03.11~2028.03.11,한정민,서울특별시 강남구 역삼동 831번지 혜천빌딩 1121호,"서울특별시 강남구 강남대로 354, 혜천빌딩 11층 1121호 (역삼동)",02-6958-9111,"02-6958-9111, 010-8872-8845",지방자치단체,영업중
2019-서울강남-0079(대부중개업),주식회사 르엘뮤커뮤니케이션즈대부,110111-5300605,본점,대부중개,2025.03.20~2028.03.20,김종욱,서울특별시 강남구 논현동 82번지 17호 벤쳐캐슬빌딩 749호,"서울특별시 강남구 학동로31길 12, 벤쳐캐슬빌딩 7층 749호 (논현동)",010-8635-9999,010-8635-9999,지방자치단체,영업중
2019-서울강남-0080(대부업),주식회사 르엘뮤커뮤니케이션즈대부,110111-5300605,본점,금전대부,2025.03.20~2028.03.20,김종욱,서울특별시 강남구 논현동 82번지 17호 벤쳐캐슬빌딩 749호,"서울특별시 강남구 학동로31길 12, 벤쳐캐슬빌딩 7층 749호 (논현동)",010-8635-9999,010-8635-9999,지방자치단체,영업중
2019-서울강남-0082(대부업),더퍼스트금융대부,,본점,금전대부,2022.05.27~2025.05.27,박재한,서울특별시 강남구 역삼동 668-2 용마빌딩,"서울특별시 강남구 논현로 522, 용마빌딩 1층 컨퍼런스룸2호 (역삼동)",02-557-9518,"02-557-9746, 02-557-9396, 02-557-9753",지방자치단체,영업중
2019-서울강남-0097(대부업),CK퍼스트론대부,,본점,금전대부,2022.06.13~2025.06.13,차광원,서울특별시 강남구 논현동 141번지 7호 세일빌딩 2177호,"서울특별시 강남구 학동로2길 19, 세일빌딩 2층 2177호 (논현동)",010-8705-8676,"010-8406-6393, 010-2503-9388, 010-3908-2550",지방자치단체,영업중
2019-서울강남-0103(대부업),포이베대부 유한회사,110114-0042248,본점,금전대부,2022.06.25~2025.06.25,김수옥,서울특별시 강남구 논현동 61-3 엠포리아 빌딩,"서울특별시 강남구 도산대로 220, 엠포리아 빌딩 10층 1호 (논현동)",02-552-0147,02-552-0147,지방자치단체,영업중
2019-서울강남-0110(대부업),(주)두리대부,110111-7133426,본점,금전대부,2022.06.28~2025.06.28,배윤정,서울특별시 강남구 삼성동 37-7 호암빌딩,"서울특별시 강남구 선릉로112길 12-2, 호암빌딩 114호 (삼성동)",02-511-5211,02-511-5211,지방자치단체,영업중
2019-서울강남-0111(대부중개업),(주)두리대부,110111-7133426,본점,대부중개,2022.06.28~2025.06.28,배윤정,서울특별시 강남구 삼성동 37-7 호암빌딩,"서울특별시 강남구 선릉로112길 12-2, 호암빌딩 114호 (삼성동)",02-511-5211,02-511-5211,지방자치단체,영업중
2019-서울강남-0117(대부업),(주)와이케이파이낸셜대부,110111-7114319,본점,금전대부,2022.07.01~2025.07.01,박철영,서울특별시 강남구 역삼동 773-3,"서울특별시 강남구 언주로 333, 3층 302호 (역삼동)",070-4323-1878,,지방자치단체,영업중
2019-서울강남-0118(대부중개업),(주)와이케이파이낸셜대부,110111-7114319,본점,대부중개,2022.07.01~2025.07.01,박철영,서울특별시 강남구 역삼동 773-3,"서울특별시 강남구 언주로 333, 3층 302호 (역삼동)",070-4323-1878,,지방자치단체,영업중
2019-서울강남-0131(대부중개업),(주)이론연합대부,110111-6790201,본점,대부중개,2024.03.21~2027.03.21,김영진,"서울특별시 강남구 도곡동 467-24 우성캐릭터199, 4층 403호","서울특별시 강남구 언주로 118, 4층 403호 (도곡동, 우성캐릭터199)",02-6951-3161,"1877-3161, 1877-3137",지방자치단체,영업중
2019-서울강남-0132(대부업),(주)다솜스카이대부,110111-6566686,본점,금전대부,2022.08.02~2025.08.02,공영훈,서울특별시 강남구 역삼동 642번지 6호 성지하이츠3차빌딩 1516호,"서울특별시 강남구 논현로 507, 성지하이츠3차빌딩 1516호 (역삼동)",010-4464-4141,,지방자치단체,영업중
2019-서울강남-0138(대부업),스폰서대부,,본점,금전대부,2022.08.22~2025.08.22,김가람,서울특별시 강남구 대치동 895-1 가리온,"서울특별시 강남구 삼성로85길 39, 가리온 3층 302호 (대치동)",010-3215-0333,010-3215-0333,지방자치단체,영업중
2019-서울강남-0143(대부업),우진캐피탈대부,,본점,금전대부,2022.07.25~2025.07.25,서진호,서울특별시 강남구 삼성동 143-19,"서울특별시 강남구 테헤란로69길 10, 708호 (삼성동)",1522-0783,1522-0783,지방자치단체,영업중
2019-서울강남-0134(대부업),굿머니전당포대부,,본점,금전대부,2022.08.24~2025.08.24,이미옥,서울특별시 강남구 논현동 241번지 1호 강남파라곤 102호,"서울특별시 강남구 학동로 338, 102호 (논현동, 강남파라곤)",02-3446-2333,"010-9297-2333, 02-3446-2333",지방자치단체,영업중
2019-서울강남-0144(대부업),소드원크래딧대부(주),110111-5336288,본점,금전대부,2022.08.10~2025.08.10,김태형,서울특별시 강남구 논현동 191번지 12호 동림빌딩 4층 401호,"서울특별시 강남구 논현로 621, 동림빌딩 4층 (논현동)",02-533-6303,,지방자치단체,영업중
2019-서울강남-0147(대부중개업),(주)위드파이낸스대부,110111-7231650,본점,대부중개,2022.08.22~2025.08.22,이훈재,서울특별시 강남구 논현동 203-1 거평타운오피스텔,"서울특별시 강남구 봉은사로 129, 거평타운오피스텔 1705호 (논현동)",1544-4826,1544-4826,지방자치단체,영업중
2019-서울강남-0151(대부업),주식회사 센터원대부,110111-7223334,본점,금전대부,2022.09.13~2025.09.13,권성일,서울특별시 강남구 대치동 629 동하빌딩,"서울특별시 강남구 남부순환로 2913, 동하빌딩 7층 4호 (대치동)",070-4323-5058,,지방자치단체,영업중
2019-서울강동-00001,유니자산대부,,본점,금전대부,2024.12.11~2027.12.11,윤종범,서울특별시 강동구 길동 345-9,"서울특별시 강동구 천중로 213, 6층 613호 (길동)",010-9012-0018,,지방자치단체,영업중
2019-서울강동-00004,삼흥대부,,본점,금전대부,2024.12.30~2027.12.30,서영준,서울특별시 강동구 성내동 77번지 21호 드림피스 211호,"서울특별시 강동구 올림픽로62길 9-15, 211호 (성내동, 드림피스)",010-5663-6150,"470-0918, 010-4408-3220",지방자치단체,영업중
2019-서울강동-00006,미래대부,,본점,금전대부,2025.02.10~2028.02.10,강원구,서울특별시 강동구 길동 345번지 9호 어반라이프 오피스빌딩 514호,"서울특별시 강동구 천중로 213, 어반라이프 오피스빌딩 514호 (길동)",010-5240-9134,010-5240-9134,지방자치단체,영업중
2019-서울강동-00015,동문대부,,본점,금전대부,2022.06.03~2025.06.02,노현길,서울특별시 강동구 성내동 244번지 3호,"서울특별시 강동구 천호대로 1124, 홍익빌딩 1121호 (성내동)",010-8990-8883,010-8990-8883,지방자치단체,영업중
2019-서울강서-0010(대부업),호주머니대부,,본점,금전대부,2025.01.02~2028.01.02,김종성,서울특별시 강서구 화곡동 379번지 4호 중앙하이츠 101호,"서울특별시 강서구 화곡로24길 56, 101호 (화곡동, 중앙하이츠)",02-6225-6483,"02-2605-8723, 02-2698-8723, 010-7617-9225",지방자치단체,영업중
2019-서울광진-0011(대부업),한빛대부,,본점,금전대부,2022.04.21~2025.04.21,정연중,서울특별시 광진구 구의동 546번지 4호 테크노-마트21 B-121호,"서울특별시 광진구 광나루로56길 85, 테크노-마트21 8층 B-121호 (구의동)",010-9983-0990,010-9983-0990,지방자치단체,영업중
2019-서울광진-0022(대부업),주식회사 유로대부,110111-6727642,본점,금전대부,2022.07.29~2025.07.29,황운기,서울특별시 광진구 군자동 1-10 동원빌딩,"서울특별시 광진구 능동로 275-1, 동원빌딩 4층 401호 (군자동)",070-5417-8838,,지방자치단체,영업중
2019-서울광진-0024(대부업),(주)나린파트너스대부,110111-6901113,본점,금전대부,2024.08.13~2027.08.13,김용호,서울특별시 광진구 구의동 546-4 테크노-마트21,"서울특별시 광진구 광나루로56길 85, 테크노-마트21 21층 10호 (구의동)",02-2244-1338,,지방자치단체,영업중
2019-서울구로-015(대부업),주식회사 나라자산관리대부,110111-7043485,본점,금전대부,2022.04.04~2025.04.03,최가별,서울특별시 구로구 구로동 197번지 28호 이앤씨벤처드림타워6차 707호,"서울특별시 구로구 디지털로31길 41, 이앤씨벤처드림타워6차 707호 C-7호호 (구로동)",010-8314-5547,010-8314-5547,지방자치단체,영업중
2019-서울구로-016(대부중개업),주식회사 나라자산관리대부,110111-7043485,본점,대부중개,2022.04.04~2025.04.03,최가별,서울특별시 구로구 구로동 197번지 28호 이앤씨벤처드림타워6차 707호,"서울특별시 구로구 디지털로31길 41, 이앤씨벤처드림타워6차 707호 C-7호 (구로동)",010-8314-5547,010-8314-5547,지방자치단체,영업중
2019-서울구로-0046(대부업),에비스대부 주식회사,110111-4228402,본점,금전대부,2024.10.15~2027.10.15,남인경,서울특별시 구로구 구로동 182-13 대륭포스트타워2차,"서울특별시 구로구 디지털로 306, 대륭포스트타워2차 304-에이호 (구로동)",02-412-0317,1644-0233,지방자치단체,영업중
2019-서울금천-0010,청포도대부,,본점,금전대부,2019.03.27~2028.02.20,박용명,서울특별시 금천구 시흥동 1013번지 7호 벽산중심상가,"서울특별시 금천구 금하로 763, 벽산중심상가 205-2호 (시흥동)",02-3283-1333,02-3283-1333,지방자치단체,영업중
2019-서울금천-0013,(주)삼언대부,110111-7054953,본점,금전대부,2019.04.08~2027.12.26,권승언,서울특별시 금천구 가산동 371번지 41호 가산 에스케이 브이원 센터,"서울특별시 금천구 가산디지털1로 171, 가산 에스케이 브이원 센터 303-383호 (가산동)",010-6804-9280,010-6804-9280,지방자치단체,영업중
2019-서울금천-0014,(주)삼언대부중개,110111-7054953,본점,대부중개,2019.04.08~2027.12.16,권승언,서울특별시 금천구 가산동 371번지 41호 가산 에스케이 브이원 센터,"서울특별시 금천구 가산디지털1로 171, 가산 에스케이 브이원 센터 303-383호 (가산동)",010-6804-9280,010-6804-9280,지방자치단체,영업중
2019-서울금천-0029,진성매화대부,,본점,금전대부,2019.06.28~2028.03.14,강정석,서울특별시 금천구 시흥동 1013번지 7호 벽산중심상가,"서울특별시 금천구 금하로 763, 벽산중심상가 205-18호 (시흥동)",02-522-0206(KT),"1600-5549(SK), 1522-5264",지방자치단체,영업중
2019-서울금천-0042,(주)골든러쉬파트너스대부,110111-6498722,본점,금전대부,2017.09.20~2026.06.09,조광일,서울특별시 금천구 가산동 60번지 17호 백상스타타워1차,"서울특별시 금천구 디지털로9길 65, 백상스타타워1차 209-1호 (가산동)",02-6116-8354,,지방자치단체,영업중
2019-서울노원-00004(대부업),매직자산대부 주식회사,110111-6980662,본점,금전대부,2024.12.03~2027.12.03,박지훈,서울특별시 노원구 중계동 503 동은빌딩 403호,"서울특별시 노원구 동일로207길 23, 동은빌딩 403호 (중계동)",010-2964-3465,010-2964-3465,지방자치단체,영업중
2019-서울노원-0024(대부업),굿피플대부,,본점,금전대부,2022.06.13~2025.06.13,정해경,서울특별시 노원구 공릉동 392-4 EnS빌딩,"서울특별시 노원구 동일로190길 43-6, EnS빌딩 지하1층 H-1003호 (공릉동)",010-9875-7959,,지방자치단체,영업중
2019-서울노원-0026(대부업),금융디톡스대부,,본점,금전대부,2022.06.26~2025.06.26,이소영,서울특별시 노원구 상계동 169번지 210호 신흥빌딩,"서울특별시 노원구 한글비석로24길 14, 498호 (상계동)",010-4573-2356,010-4573-2356,지방자치단체,영업중
2019-서울노원-0027(대부중개업),금융디톡스대부중개,,본점,대부중개,2022.06.26~2025.06.26,이소영,서울특별시 노원구 상계동 169번지 210호 신흥빌딩,"서울특별시 노원구 한글비석로24길 14, 498호 (상계동)",010-4573-2356,010-4573-2356,지방자치단체,영업중
2019-서울도봉-0005(대부),이음캐시대부,,본점,금전대부,2022.01.20~2025.01.20,윤윤옥,서울특별시 도봉구 창동 6-1 타워텔 705호,"서울특별시 도봉구 마들로11가길 13-6, 7층 705호 (창동)",010-7328-1588,,지방자치단체,영업중
2019-서울도봉-0019(대부),지지대부,,본점,금전대부,2022.09.19~2025.09.19,최병만,서울특별시 도봉구 도봉동 654번지 동아에코빌아파트,"서울특별시 도봉구 도봉로180길 6-25, 2층 203호 (도봉동, 동아에코빌아파트)",010-9736-2509,,지방자치단체,영업중
2019-서울동대문-0008(대부업),PK대부,,본점,금전대부,2025.02.11~2028.02.11,박정식,서울특별시 동대문구 장안동 429번지 3호,"서울특별시 동대문구 장한로 51, 성안빌딩 3층 320호 (장안동)",010-9537-8323,,지방자치단체,영업중
2019-서울동대문-0015(대부업),산원대부,,본점,금전대부,2025.03.18~2028.03.18,신준호,서울특별시 동대문구 답십리동 268번지 4호,"서울특별시 동대문구 전농로 35, 4층 507호 (답십리동)",010-4814-3373,,지방자치단체,영업중
2019-서울동작-00005(대부업),(주)스마일대부,110111-6467628,본점,금전대부,2023.06.15~2026.06.15,김점순,서울특별시 동작구 상도동 408 삼호아파트,"서울특별시 동작구 상도로 407-5, 삼호아파트 상가1동 3층 305호 (상도동)",02-501-5526,02-501-5526,지방자치단체,영업중
2019-서울마포-0046(대부중개업),주식회사 원대부중개,110111-7214531,본점,대부중개,2022.06.30~2025.06.30,이홍재,서울특별시 마포구 도화동 250번지 4호 근신빌딩 204호,"서울특별시 마포구 삼개로 16, 근신빌딩 2층 204호 (도화동)",02-2088-8839,02-2088-8839,지방자치단체,영업중
2019-서울마포-0010(대부중개업),주식회사 피에프대부,110111-7000378,본점,대부중개,2025.01.02~2028.01.02,김계영,서울특별시 마포구 상암동 1597번지 사보이시티디엠씨 에이동 316호,"서울특별시 마포구 월드컵북로54길 17, 사보이시티디엠씨 에이동 3층 316호 (상암동)",070-5222-7701,070-5222-7701,지방자치단체,영업중
2019-서울마포-0055(대부업),대원대부,,본점,금전대부,2022.10.25~2025.10.25,윤송원,서울특별시 마포구 합정동 376-13,"서울특별시 마포구 양화진길 51, 204호 (합정동)",010-3711-1010,,지방자치단체,영업중
2019-서울마포-0009(대부업),주식회사 피에프대부,110111-7000378,본점,금전대부,2025.01.02~2028.01.02,김계영,서울특별시 마포구 상암동 1597번지 사보이시티디엠씨 에이동 316호,"서울특별시 마포구 월드컵북로54길 17, 사보이시티디엠씨 에이동 3층 316호 (상암동)",070-5222-7701,070-5222-7701,지방자치단체,영업중
2019-서울서초-0006(대부업),디에이치씨대부,,본점,금전대부,2024.09.04~2027.09.04,전돈희,서울특별시 서초구 서초동 1445-1,"서울특별시 서초구 효령로 310, 1505호 (서초동)",010-8887-6333,,지방자치단체,영업중
2019-서울서초-0033(대부업),(주)아이미대부,110111-7007770,본점,금전대부,2025.01.23~2028.01.23,민경선,서울특별시 서초구 서초동 1535-7 베리타스빌딩 지층 1호,"서울특별시 서초구 효령로49길 34, 베리타스빌딩 지층 1호 (서초동)",070-4047-7106,,지방자치단체,영업중
2019-서울서초-0048(대부업),(주)윌리엄패커대부,110111-6919918,본점,금전대부,2025.01.10~2028.01.10,박승재,서울특별시 서초구 서초동 1364-39 지훈빌딩 3556호,"서울특별시 서초구 서운로6길 26, 지훈빌딩 3층 3556호 (서초동)",02-511-5794,,지방자치단체,영업중
2019-서울서초-0049(대부업),(주)비앤케이대부,110111-7076866,본점,금전대부,2022.04.05~2025.04.05,김지유,서울특별시 서초구 잠원동 19-5 영서빌딩,"서울특별시 서초구 나루터로 70, 영서빌딩 202호 (잠원동)",010-9135-7117,010-9135-7117,지방자치단체,영업중
2019-서울서초-0058(대부업),(주)에스케이홀딩스대부,110111-7104021,본점,금전대부,2022.05.11~2025.05.11,심재민,서울특별시 서초구 서초동 1656번지 4호 서초동롯데캐슬메디치 지하1층 르호봇교대센터 A154호,"서울특별시 서초구 서초중앙로 110, 지하1층 르호봇교대세터 A154호 (서초동, 서초동롯데캐슬메디치)",02-598-9879,,지방자치단체,영업중
